Percentage served,Time in ms
0,3.800000e+001
1,1.330000e+002
2,2.600000e+002
3,3.850000e+002
4,5.180000e+002
5,5.920000e+002
6,5.970000e+002
7,6.020000e+002
8,6.050000e+002
9,6.060000e+002
10,6.070000e+002
11,6.070000e+002
12,6.080000e+002
13,6.090000e+002
14,6.100000e+002
15,6.110000e+002
16,6.120000e+002
17,6.130000e+002
18,6.140000e+002
19,6.150000e+002
20,6.160000e+002
21,6.170000e+002
22,6.180000e+002
23,6.190000e+002
24,6.200000e+002
25,6.210000e+002
26,6.220000e+002
27,6.240000e+002
28,6.250000e+002
29,6.260000e+002
30,6.270000e+002
31,6.280000e+002
32,6.310000e+002
33,6.330000e+002
34,6.340000e+002
35,6.360000e+002
36,6.440000e+002
37,6.480000e+002
38,6.550000e+002
39,6.620000e+002
40,6.660000e+002
41,6.700000e+002
42,6.740000e+002
43,6.750000e+002
44,6.770000e+002
45,6.800000e+002
46,6.820000e+002
47,6.860000e+002
48,6.980000e+002
49,7.060000e+002
50,7.130000e+002
51,7.160000e+002
52,7.200000e+002
53,7.220000e+002
54,7.300000e+002
55,1.603000e+003
56,1.617000e+003
57,1.623000e+003
58,1.624000e+003
59,1.627000e+003
60,1.630000e+003
61,1.633000e+003
62,1.636000e+003
63,1.640000e+003
64,1.643000e+003
65,1.644000e+003
66,1.646000e+003
67,1.650000e+003
68,1.653000e+003
69,1.655000e+003
70,1.658000e+003
71,1.659000e+003
72,1.662000e+003
73,1.664000e+003
74,1.675000e+003
75,1.681000e+003
76,1.682000e+003
77,1.687000e+003
78,1.699000e+003
79,1.739000e+003
80,1.802000e+003
81,1.831000e+003
82,1.848000e+003
83,1.853000e+003
84,1.856000e+003
85,1.865000e+003
86,1.885000e+003
87,2.015000e+003
88,2.021000e+003
89,2.023000e+003
90,2.030000e+003
91,2.101000e+003
92,2.630000e+003
93,2.668000e+003
94,3.291000e+003
95,3.298000e+003
96,3.695000e+003
97,4.312000e+003
98,4.321000e+003
99,5.068000e+003
